Parcela;Placa;Especie;Familia;DAP_cm
P1;2;Aspidosperma desmanthum;Apocynaceae;14
P1;3;Tapirira guianensis;Anacardiaceae;22,84
P1;4;;;24,59
P1;5;Cecropia peltata;Urticaceae;12,76
P1;6;Castilla tunu;Moraceae;11,39
P1;7;Otoba novogranatensis;Myristicaceae;31,7
P1;8;Pouteria sp16;Sapotaceae;10,64
P1;9;Guatteria sp3;Annonaceae;12,56
P1;10;Cassipourea guianensis;Rhizophoraceae;29,76
P1;11;Virola macrocarpa;Myristicaceae;15,33
P1;12;;;14,35
P1;13;Cassipourea guianensis;Rhizophoraceae;20,06
P1;14;Oxandra sp1;Annonaceae;13,53
P1;16;Virola macrocarpa;Myristicaceae;13,59
P1;17;Aspidosperma desmanthum;Apocynaceae;11,46
P1;18;Cecropia peltata;Urticaceae;12,66
P1;19;Eschweilera sp2;Lecythidaceae;16,81
P1;20;Myrcia florida;Myrtaceae;11,27
P1;21;Aspidosperma desmanthum;Apocynaceae;18,71
P1;22;Amaioua corymbosa;Rubiaceae;15,36
P1;23;Pouteria sp16;Sapotaceae;17,32
P1;24;Eschweilera sp2;Lecythidaceae;62,87
P1;25;Chrysochlamys sp1;Clusiaceae;16,74
P1;26;Manilkara chicle;Sapotaceae;16,83
P1;27;Pouteria lucuma;Sapotaceae;12,92
P1;28;Eschweilera sp2;Lecythidaceae;52,27
P1;29;Maytenus sp1;Celastraceae;11,3
P1;30;Pouteria sp16;Sapotaceae;11,9
P1;31;Otoba novogranatensis;Myristicaceae;15,96
P1;32;Compsoneura mutisii;Myristicaceae;12,05
P1;33;Rhodostemonodaphne kunthiana;Lauraceae;22,76
P1;34;Guatteria sp3;Annonaceae;12,55
P1;35;Pouteria sp15;Sapotaceae;19,71
P1;36;Garcinia magnifolia;Clusiaceae;28,26
P1;37;Guatteria sp3;Annonaceae;34,31
P1;38;Guatteria sp3;Annonaceae;38,85
P1;39;Socratea exorrhiza;Arecaceae;13,81
P1;40;Oxandra sp1;Annonaceae;12,2
P1;41;Ravenia sp1;Rutaceae;11,88
P1;42;Siparuna gentryana;Siparunaceae;15,85
P1;43;Socratea exorrhiza;Arecaceae;14,36
P1;44;Aspidosperma desmanthum;Apocynaceae;12,82
P1;45;Manilkara chicle;Sapotaceae;23,92
P1;46;Manilkara chicle;Sapotaceae;32,78
P1;47;Pouteria sp16;Sapotaceae;20,42
P1;48;Socratea exorrhiza;Arecaceae;11,2
P1;49;Otoba novogranatensis;Myristicaceae;26,04
P1;50;Virola macrocarpa;Myristicaceae;25,74
P1;51;Nectandra sp11;Lauraceae;14,6
P1;52;Lonchocarpus macrophyllus;Fabaceae;12,39
P1;53;Otoba novogranatensis;Myristicaceae;22,3
P1;54;Socratea exorrhiza;Arecaceae;11,71
P1;55;Oxandra sp1;Annonaceae;29,27
P1;56;Pouteria sp16;Sapotaceae;41,99
P1;57;Pouteria sp16;Sapotaceae;16,23
P1;58;Pouteria sp16;Sapotaceae;34,89
P1;59;Pouteria sp16;Sapotaceae;23,56
P1;60;Cassipourea guianensis;Rhizophoraceae;14,99
P1;61;Manilkara chicle;Sapotaceae;42,97
P1;62;Otoba novogranatensis;Myristicaceae;24,57
P1;63;Pouteria lucuma;Sapotaceae;21,33
P1;64;Virola macrocarpa;Myristicaceae;17,22
P1;65;Eschweilera sp2;Lecythidaceae;63,34
P1;66;Sterculia sp1;Malvaceae;10,3
P1;67;Virola macrocarpa;Myristicaceae;17,53
P1;69;Heisteria acuminata;Olacaceae;12,1
P1;70;Pouteria sp16;Sapotaceae;13,17
P1;71;Pouteria sp16;Sapotaceae;36,26
P1;72;Manilkara chicle;Sapotaceae;10,37
