Placa;DAP (cm);Altura (m);Habito;Codigos observaciones
1;11,52;12,5;Arbol;L, I
2;99,38;33,5;Arbol;
3;21,65;25;Arbol;I
4;15,31;9,92;Arbol;Q
5;22,66;17;Arbol;
6;29,13;20;Arbol;
7;13,72;14,4;Arbol;
8;64,17;35;Arbol;
9;15,98;11,64;Arbol;
10;56,79;27;Arbol;
11;27,57;17;Arbol;
12;43,7;24,7;Arbol;I
13;17,51;5,5;Arbol;Q
14;20,05;21,1;Arbol;
15;12,99;12,5;Arbol;
16;19,89;13,5;Arbol;L
17;15,53;13;Arbol;
18;12,35;14,7;Arbol;L
19;19,23;11,1;Arbol;
20;19,39;18;Palma;
21;19,35;12,5;Palma;I
22;101,73;36,5;Arbol;
23;29,41;17;Arbol;
24;16,07;17,3;Arbol;I
25;18,56;18,5;Arbol;
26;20,79;20;Arbol;
27;13,81;11,3;Arbol;
28;15,82;11;Palma;
29;36,76;15,5;Arbol;
30;15,79;15,6;Arbol;
31;22,41;19,5;Arbol;
32;45,36;27;Arbol;I
33;10,79;11;Arbol;L
34;24,29;15,3;Arbol;
35;20,69;14;Arbol;Q
36;12,57;12;Arbol;L
37;19,48;11;Arbol;L, I
38;15,41;16;Arbol;L
39;14,77;17,5;Arbol;L
40;13,69;10;Arbol;L
41;11,59;8,3;Arbol;I
42;21,01;18,4;Arbol;
43;14,87;7;Arbol;
44;14,23;11,6;Arbol;L
45;16,55;17,2;Palma;I
46;21,68;14,5;Arbol;
47;36,45;17,2;Arbol;
48;39,79;14;Arbol;I
49;30,75;20;Arbol;
50;50,76;9;Arbol;
51;12,19;10,5;Arbol;
52;13,37;14;Arbol;
53;15,44;10;Arbol;L
54;12,41;13;Arbol;
55;21,2;14,07;Arbol;
56;17,35;13;Arbol;
57;23,05;15,4;Arbol;
58;32,63;27,5;Arbol;I
59;147,2;39,4;Arbol;B
60;30,94;20;Arbol;
61;17,57;11;Arbol;
62;15,34;11;Arbol;
63;20,21;15,6;Arbol;L, I
64;14,42;4,5;Arbol;L, I
65;11,9;12,5;Arbol;I
66;35,33;23;Arbol;L
67;39,79;16;Arbol;L, I
68;12,45;13;Arbol;
69;25,37;13,7;Arbol;L
70;13,18;6;Arbol;
71;15,12;11;Arbol;I
72;11,3;5;Arbol;
73;13,37;12;Arbol;L
74;19,03;16,5;Arbol;I
75;10,89;10,2;Arbol;
76;11,84;12,6;Arbol;
77;30,4;17,2;Arbol;L
78;18,24;17;Arbol;
79;59,11;10,7;Arbol;Q
80;13,15;12,2;Arbol;L
81;25,85;24,3;Arbol;
82;38,61;22;Arbol;
83;18,08;17;Arbol;
84;21,71;13;Arbol;L
85;30,88;23;Arbol;L
86;23,08;12,5;Arbol;L
87;15,92;11;Arbol;L
88;13,46;5,5;Arbol;L
89;43,96;23;Arbol;
90;14,64;12,3;Arbol;
91;15,72;11,6;Arbol;
92;18,78;11,2;Palma;I
93;14,32;11,3;Arbol;L
94;18,94;18,8;Arbol;L
95;14,55;12,3;Arbol;
96;20,47;18;Arbol;
97;24,96;22;Arbol;
98;18,62;13;Palma;
99;18,91;12,7;Palma;L, I
100;17;10;Arbol;
101;138,7;40,6;Arbol;
102;28,68;19,3;Arbol;
103;13,62;11;Arbol;
104;13,69;8;Arbol;
105;15,88;8,5;Arbol;
106;13,72;12,8;Arbol;
107;13,27;15;Arbol;
108;29,41;30;Arbol;
109;13,37;7,5;Arbol;
110;18,4;15,2;Arbol;
111;16,3;9;Palma;
112;11,78;14,6;Arbol;
113;27,41;15,5;Arbol;Y
114;38,26;20;Arbol;
115;79,1;41,2;Arbol;
116;10,19;9,2;Arbol;
117;15,06;9,8;Palma;
118;10,25;7;Arbol;
119;26,93;8,5;Arbol;
120;10,19;5;Arbol;
121;11,59;13,8;Arbol;
122;22,31;12;Arbol;
123;14,16;17;Arbol;L
124;20,37;15;Arbol;
125;16,33;5;Arbol;L
126;11,14;15,5;Arbol;
127;36;14,4;Arbol;
128;23,78;19;Arbol;
129;22,06;16,6;Arbol;
130;16,04;15;Arbol;
131;12,25;8,7;Arbol;
