"";"No_Parcela";"No_Arbol";"DAP_cm";"Ht_m";"Hf_m";"Tipo.de.bosque"
"1";1;"4";8,34;NA;NA;"A"
"2";1;"7";5,94;NA;NA;"A"
"3";1;"8";6,16;NA;NA;"A"
"4";1;"9";6,02;NA;NA;"A"
"5";1;"10";7,51;NA;NA;"A"
"6";1;"11";7,27;NA;NA;"A"
"7";1;"22";5,5;NA;NA;"A"
"8";1;"23";5,81;NA;NA;"A"
"9";1;"29";5,14;NA;NA;"A"
"10";1;"33";6,29;NA;NA;"A"
"11";1;"36";5,91;NA;NA;"A"
"12";1;"37";10,02;NA;NA;"A"
"13";1;"42";7,11;NA;NA;"A"
"14";1;"44";8,14;NA;NA;"A"
"15";1;"45";9,05;NA;NA;"A"
"16";1;"46";8,47;NA;NA;"A"
"17";2;"1";10,12;16,55;8,05;"A"
"18";2;"2";9,87;NA;NA;"A"
"19";2;"3";7,51;NA;NA;"A"
"20";2;"10";5,15;NA;NA;"A"
"21";2;"11";6,76;NA;NA;"A"
"22";2;"12";10,63;9,3;7,05;"A"
"23";2;"14";5,28;NA;NA;"A"
"24";2;"19";5,73;NA;NA;"A"
"25";2;"20";7,61;NA;NA;"A"
"26";2;"22";5,11;NA;NA;"A"
"27";2;"23";9,05;NA;NA;"A"
"28";2;"24";7,49;NA;NA;"A"
"29";2;"26";6,6;NA;NA;"A"
"30";2;"27";5,37;NA;NA;"A"
"31";2;"28";6,05;NA;NA;"A"
"32";2;"29";10,06;NA;NA;"A"
"33";2;"30";8,28;NA;NA;"A"
"34";2;"32";9,36;NA;NA;"A"
"35";2;"35";6,47;NA;NA;"A"
"36";2;"36";12,8;NA;NA;"A"
"37";2;"37";12,99;NA;NA;"A"
"38";2;"38";11,78;NA;NA;"A"
"39";2;"39";5,64;NA;NA;"A"
"40";2;"40";7,26;NA;NA;"A"
"41";2;"41";7,96;NA;NA;"A"
"42";2;"43";22,15;NA;NA;"A"
"43";2;"44";6,05;NA;NA;"A"
"44";3;"3";7,8;NA;NA;"A"
"45";3;"4";16,1;NA;NA;"A"
"46";3;"6";10,38;NA;NA;"A"
"47";3;"7";11,01;NA;NA;"A"
"48";3;"9";5,84;NA;NA;"A"
"49";3;"10";12,75;NA;NA;"A"
"50";3;"11";14,7;NA;NA;"A"
"51";3;"12";13,24;NA;NA;"A"
"52";3;"15";6,71;NA;NA;"A"
"53";3;"19";5,62;NA;NA;"A"
"54";3;"20";12,6;NA;NA;"A"
"55";3;"21";6,79;NA;NA;"A"
"56";3;"23";8,76;NA;NA;"A"
"57";3;"24";5,66;NA;NA;"A"
"58";3;"25";7,86;NA;NA;"A"
"59";3;"26";9,48;NA;NA;"A"
"60";3;"27";8,79;NA;NA;"A"
"61";3;"28";8,3;NA;NA;"A"
"62";3;"29";6,78;NA;NA;"A"
"63";3;"32";16,17;NA;NA;"A"
"64";3;"35";5,75;NA;NA;"A"
"65";3;"39";5,7;NA;NA;"A"
"66";4;"1";10,38;7,55;4,05;"A"
"67";4;"2";6,88;NA;NA;"A"
"68";4;"3";5,16;NA;NA;"A"
"69";4;"6";10,76;12,3;6,3;"A"
"70";4;"7";5,44;NA;NA;"A"
"71";4;"9";8,44;NA;NA;"A"
"72";4;"11";10,66;8,3;3,3;"A"
"73";4;"12";7,26;NA;NA;"A"
"74";4;"13";5,04;NA;NA;"A"
"75";4;"14";16,81;12,55;7,8;"A"
"76";4;"15";15,47;10,55;5,8;"A"
"77";4;"16";10,5;12,55;6,55;"A"
"78";4;"22";5,09;NA;NA;"A"
"79";4;"25";6,18;NA;NA;"A"
"80";4;"26";9,74;NA;NA;"A"
"81";4;"27";13,81;NA;NA;"A"
"82";5;"1";9,8;NA;NA;"A"
"83";5;"2";9,74;NA;NA;"A"
"84";5;"3";9,99;NA;NA;"A"
"85";5;"4";13,72;NA;NA;"A"
"86";5;"5";14,74;NA;NA;"A"
"87";5;"6";10,57;NA;NA;"A"
"88";5;"7";9,17;NA;NA;"A"
"89";5;"8";11,43;NA;NA;"A"
"90";5;"9";10,41;NA;NA;"A"
"91";5;"10";10,25;NA;NA;"A"
"92";5;"11";10,92;NA;NA;"A"
"93";5;"12";8,47;NA;NA;"A"
"94";5;"13";8,15;NA;NA;"A"
"95";5;"14";8,94;NA;NA;"A"
"96";5;"15";9,45;NA;NA;"A"
"97";5;"16";9,07;NA;NA;"A"
"98";5;"17";8,56;NA;NA;"A"
"99";5;"18";18,3;NA;NA;"A"
"100";5;"19";8,66;NA;NA;"A"
"101";5;"20";10,19;NA;NA;"A"
"102";5;"21";8,12;NA;NA;"A"
"103";5;"22";9,33;NA;NA;"A"
"104";5;"23";14,01;NA;NA;"A"
"105";5;"25";12,45;NA;NA;"A"
"106";5;"26";13,53;NA;NA;"A"
"107";5;"27";11,49;NA;NA;"A"
"108";5;"28";7,29;NA;NA;"A"
"109";5;"29";11,24;NA;NA;"A"
"110";5;"30";12,03;NA;NA;"A"
"111";5;"31";12,64;NA;NA;"A"
"112";5;"32";9,58;NA;NA;"A"
"113";5;"33";9,33;NA;NA;"A"
"114";5;"34";8,18;NA;NA;"A"
"115";5;"35";9,07;NA;NA;"A"
"116";5;"36";8,37;NA;NA;"A"
"117";5;"37";10,03;NA;NA;"A"
"118";5;"38";8,15;NA;NA;"A"
"119";5;"39";8,5;NA;NA;"A"
"120";5;"40";8,59;NA;NA;"A"
"121";5;"41";8,79;NA;NA;"A"
"122";5;"42";8,12;NA;NA;"A"
"123";5;"43";10,35;NA;NA;"A"
"124";5;"44";8,75;NA;NA;"A"
"125";5;"45";11,87;NA;NA;"A"
"126";5;"46";11,24;NA;NA;"A"
"127";5;"47";9,96;NA;NA;"A"
"128";5;"48";15,63;NA;NA;"A"
"129";5;"49";15,37;NA;NA;"A"
"130";5;"50";8,44;NA;NA;"A"
"131";5;"51";12,67;NA;NA;"A"
"132";5;"52";16,33;NA;NA;"A"
"133";5;"53";12,73;NA;NA;"A"
"134";5;"54";8,94;NA;NA;"A"
"135";5;"55";10,7;NA;NA;"A"
"136";5;"56";11,2;NA;NA;"A"
"137";5;"57";10,06;NA;NA;"A"
"138";5;"58";19,61;NA;NA;"A"
"139";5;"59";21,42;NA;NA;"A"
"140";5;"60";7,96;NA;NA;"A"
"141";5;"68";5,54;1,2;NA;"A"
"142";6;"1";18,53;13,3;5,8;"B"
"143";6;"3";6,46;NA;NA;"B"
"144";6;"4";11,08;NA;NA;"B"
"145";6;"5";8,98;NA;NA;"B"
"146";6;"6";7,45;NA;NA;"B"
"147";6;"7";9,55;NA;NA;"B"
"148";6;"8";5,98;NA;NA;"B"
"149";6;"10";8,91;NA;NA;"B"
"150";6;"11";5,54;NA;NA;"B"
"151";6;"12";5,03;NA;NA;"B"
"152";6;"13";9,04;NA;NA;"B"
"153";6;"14";18,27;NA;NA;"B"
"154";6;"15";15,6;NA;NA;"B"
"155";6;"16";8,28;NA;NA;"B"
"156";6;"18";6,62;NA;NA;"B"
"157";6;"19";7,38;NA;NA;"B"
"158";6;"20";5,54;NA;NA;"B"
"159";6;"21";9,55;NA;NA;"B"
"160";6;"22";12,32;NA;NA;"B"
"161";6;"23";8,79;NA;NA;"B"
"162";6;"24";11,65;NA;NA;"B"
"163";6;"25";8,98;NA;NA;"B"
"164";7;"2";12,61;11,3;9,3;"B"
"165";7;"3";7,32;NA;NA;"B"
"166";7;"4";13,37;NA;NA;"B"
"167";7;"7";10,44;11,3;7,3;"B"
"168";7;"10";13,75;10,3;9,3;"B"
"169";7;"16";7,89;NA;NA;"B"
"170";7;"17";10,95;16,3;8,3;"B"
"171";7;"26";10,82;NA;NA;"B"
"172";7;"27";12,67;NA;NA;"B"
"173";7;"32";11,4;NA;NA;"B"
"174";7;"33";9,93;NA;NA;"B"
"175";7;"34";17,06;NA;NA;"B"
"176";7;"35";11,08;NA;NA;"B"
"177";7;"36";5,11;4;NA;"B"
"178";7;"38";6,37;NA;NA;"B"
"179";7;"40";9,99;NA;NA;"B"
"180";7;"42";5,6;NA;NA;"B"
"181";7;"43";5,52;NA;NA;"B"
"182";7;"44";9,42;NA;NA;"B"
"183";7;"46";17,19;12,3;10,3;"B"
"184";7;"47";9,93;NA;NA;"B"
"185";7;"49";18,78;NA;NA;"B"
"186";7;"50";9,8;NA;NA;"B"
"187";7;"52";14,71;NA;NA;"B"
"188";7;"53";7,77;5;NA;"B"
"189";7;"55";21,01;NA;NA;"B"
"190";7;"56";7,64;NA;NA;"B"
"191";7;"57";7,26;NA;NA;"B"
"192";7;"74";5,13;11;NA;"B"
"193";7;"75";12,22;11,3;7,8;"B"
"194";8;"1";6,3;NA;NA;"B"
